Aggregation Type,Description,Dimensions,Metric,Metric Display Name,Unit,resource
Total,Number of times messages were successfully written to Service Bus Queue endpoints,No Dimensions,d2c.endpoints.egress.serviceBusQueues,Messages delivered to Service Bus Queue endpoints,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average latency between message ingress to the IoT hub and message ingress into a Service Bus Queue endpoint, in milliseconds,d2c.endpoints.latency.serviceBusQueues,Message latency for Service Bus Queue endpoints,Milliseconds,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of times messages were successfully written to Service Bus Topic endpoints,No Dimensions,d2c.endpoints.egress.serviceBusTopics,Messages delivered to Service Bus Topic endpoints,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average latency between message ingress to the IoT hub and message ingress into a Service Bus Topic endpoint, in milliseconds,d2c.endpoints.latency.serviceBusTopics,Message latency for Service Bus Topic endpoints,Milliseconds,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of times messages were successfully written to the built-in endpoint (messages/events),No Dimensions,d2c.endpoints.egress.builtIn.events,Messages delivered to the built-in endpoint (messages/events),Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average latency between message ingress to the IoT hub and message ingress into the built-in endpoint (messages/events), in milliseconds,d2c.endpoints.latency.builtIn.events,Message latency for the built-in endpoint (messages/events),Milliseconds,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of times messages were successfully written to storage endpoints,No Dimensions,d2c.endpoints.egress.storage,Messages delivered to storage endpoints,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average latency between message ingress to the IoT hub and message ingress into a storage endpoint, in milliseconds,d2c.endpoints.latency.storage,Message latency for storage endpoints,Milliseconds,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Amount of data, in bytes,d2c.endpoints.egress.storage.bytes,Data written to storage,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of blobs written to storage endpoints,No Dimensions,d2c.endpoints.egress.storage.blobs,Blobs written to storage,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful device-initiated twin reads.,No Dimensions,d2c.twin.read.success,Successful twin reads from devices,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed device-initiated twin reads.,No Dimensions,d2c.twin.read.failure,Failed twin reads from devices,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,d2c.twin.read.size,Response size of twin reads from devices,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful device-initiated twin updates.,No Dimensions,d2c.twin.update.success,Successful twin updates from devices,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed device-initiated twin updates.,No Dimensions,d2c.twin.update.failure,Failed twin updates from devices,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,d2c.twin.update.size,Size of twin updates from devices,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful direct method calls.,No Dimensions,c2d.methods.success,Successful direct method invocations,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed direct method calls.,No Dimensions,c2d.methods.failure,Failed direct method invocations,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,c2d.methods.requestSize,Request size of direct method invocations,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,c2d.methods.responseSize,Response size of direct method invocations,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful back-end-initiated twin reads.,No Dimensions,c2d.twin.read.success,Successful twin reads from back end,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed back-end-initiated twin reads.,No Dimensions,c2d.twin.read.failure,Failed twin reads from back end,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,c2d.twin.read.size,Response size of twin reads from back end,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful back-end-initiated twin updates.,No Dimensions,c2d.twin.update.success,Successful twin updates from back end,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed back-end-initiated twin updates.,No Dimensions,c2d.twin.update.failure,Failed twin updates from back end,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,c2d.twin.update.size,Size of twin updates from back end,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful twin queries.,No Dimensions,twinQueries.success,Successful twin queries,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed twin queries.,No Dimensions,twinQueries.failure,Failed twin queries,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average, min,twinQueries.resultSize,Twin queries result size,Bytes,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful creation of twin update jobs.,No Dimensions,jobs.createTwinUpdateJob.success,Successful creations of twin update jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed creation of twin update jobs.,No Dimensions,jobs.createTwinUpdateJob.failure,Failed creations of twin update jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful creation of direct method invocation jobs.,No Dimensions,jobs.createDirectMethodJob.success,Successful creations of method invocation jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed creation of direct method invocation jobs.,No Dimensions,jobs.createDirectMethodJob.failure,Failed creations of method invocation jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful calls to list jobs.,No Dimensions,jobs.listJobs.success,Successful calls to list jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed calls to list jobs.,No Dimensions,jobs.listJobs.failure,Failed calls to list jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful calls to cancel a job.,No Dimensions,jobs.cancelJob.success,Successful job cancellations,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed calls to cancel a job.,No Dimensions,jobs.cancelJob.failure,Failed job cancellations,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all successful calls to query jobs.,No Dimensions,jobs.queryJobs.success,Successful job queries,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed calls to query jobs.,No Dimensions,jobs.queryJobs.failure,Failed job queries,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all completed jobs.,No Dimensions,jobs.completed,Completed jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of all failed jobs.,No Dimensions,jobs.failed,Failed jobs,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of throttling errors due to device throughput throttles,No Dimensions,d2c.telemetry.ingress.sendThrottle,Number of throttling errors,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,Number of total messages used today. This is a cumulative value that is reset to zero at 00:00 UTC every day.,No Dimensions,dailyMessageQuotaUsed,Total number of messages used,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Count,Count of metadata requests. Cosmos DB maintains system metadata collection for each account, that allows you to enumerate collections,MetadataRequests,Metadata Requests,Count,Microsoft.DocumentDB/databaseAccounts
Total,Mongo Request Units Consumed,GlobalDatabaseAccountName,MongoRequestCharge,Mongo Request Charge,Count,Microsoft.DocumentDB/databaseAccounts
Count,Number of Mongo Requests Made,GlobalDatabaseAccountName,MongoRequests,Mongo Requests,Count,Microsoft.DocumentDB/databaseAccounts
Total,Request Units consumed,GlobalDatabaseAccountName,TotalRequestUnits,Total Request Units,Count,Microsoft.DocumentDB/databaseAccounts
Count,Number of requests made,GlobalDatabaseAccountName,TotalRequests,Total Requests,Count,Microsoft.DocumentDB/databaseAccounts
Total,Successful Requests for Microsoft.EventHub. (Preview),EntityName,SuccessfulRequests,Successful Requests (Preview),Count,Microsoft.EventHub/namespaces
Total,Server Errors for Microsoft.EventHub. (Preview),EntityName,ServerErrors,Server Errors. (Preview),Count,Microsoft.EventHub/namespaces
Total,User Errors for Microsoft.EventHub. (Preview),EntityName,UserErrors,User Errors. (Preview),Count,Microsoft.EventHub/namespaces
Total,Quota Exceeded Errors for Microsoft.EventHub. (Preview),EntityName,QuotaExceededErrors,Quota Exceeded Errors. (Preview),Count,Microsoft.EventHub/namespaces
Total,Throttled Requests for Microsoft.EventHub. (Preview),EntityName,ThrottledRequests,Throttled Requests. (Preview),Count,Microsoft.EventHub/namespaces
Total,Incoming Requests for Microsoft.EventHub. (Preview),EntityName,IncomingRequests,Incoming Requests (Preview),Count,Microsoft.EventHub/namespaces
Total,Incoming Messages for Microsoft.EventHub. (Preview),EntityName,IncomingMessages,Incoming Messages (Preview),Count,Microsoft.EventHub/namespaces
Total,Outgoing Messages for Microsoft.EventHub. (Preview),EntityName,OutgoingMessages,Outgoing Messages (Preview),Count,Microsoft.EventHub/namespaces
Total,Incoming Bytes for Microsoft.EventHub. (Preview),EntityName,IncomingBytes,Incoming Bytes. (Preview),Bytes,Microsoft.EventHub/namespaces
Total,Outgoing Bytes for Microsoft.EventHub. (Preview),EntityName,OutgoingBytes,Outgoing Bytes. (Preview),Bytes,Microsoft.EventHub/namespaces
Average,Total Active Connections for Microsoft.EventHub. (Preview),No Dimensions,ActiveConnections,ActiveConnections (Preview),Count,Microsoft.EventHub/namespaces
Average,Connections Opened for Microsoft.EventHub. (Preview),EntityName,ConnectionsOpened,Connections Opened. (Preview),Count,Microsoft.EventHub/namespaces
Average,Connections Closed for Microsoft.EventHub. (Preview),EntityName,ConnectionsClosed,Connections Closed. (Preview),Count,Microsoft.EventHub/namespaces
Total,Capture Backlog for Microsoft.EventHub. (Preview),EntityName,CaptureBacklog,Capture Backlog. (Preview),Count,Microsoft.EventHub/namespaces
Total,Captured Messages for Microsoft.EventHub. (Preview),EntityName,CapturedMessages,Captured Messages. (Preview),Count,Microsoft.EventHub/namespaces
Total,Captured Bytes for Microsoft.EventHub. (Preview),EntityName,CapturedBytes,Captured Bytes. (Preview),Bytes,Microsoft.EventHub/namespaces
Average,Size of an EventHub in Bytes. (Preview),EntityName,Size,Size (Preview),Bytes,Microsoft.EventHub/namespaces
Total,Total incoming send requests for a namespace,No Dimensions,INREQS,Incoming Requests,Count,Microsoft.EventHub/namespaces
Total,Total successful requests for a namespace,No Dimensions,SUCCREQ,Successful Requests,Count,Microsoft.EventHub/namespaces
Total,Total failed requests for a namespace,No Dimensions,FAILREQ,Failed Requests,Count,Microsoft.EventHub/namespaces
Total,Total server busy errors for a namespace,No Dimensions,SVRBSY,Server Busy Errors,Count,Microsoft.EventHub/namespaces
Total,Total internal server errors for a namespace,No Dimensions,INTERR,Internal Server Errors,Count,Microsoft.EventHub/namespaces
Total,Total failed requests for a namespace,No Dimensions,MISCERR,Other Errors,Count,Microsoft.EventHub/namespaces
Total,Total incoming messages for a namespace. This metric is deprecated. Please use Incoming Messages metric instead,No Dimensions,INMSGS,Incoming Messages (Deprecated),Count,Microsoft.EventHub/namespaces
Total,Total incoming messages for a namespace,No Dimensions,EHINMSGS,Incoming Messages,Count,Microsoft.EventHub/namespaces
Total,Total outgoing messages for a namespace. This metric is deprecated. Please use Outgoing Messages metric instead,No Dimensions,OUTMSGS,Outgoing Messages (Deprecated),Count,Microsoft.EventHub/namespaces
Total,Total outgoing messages for a namespace,No Dimensions,EHOUTMSGS,Outgoing Messages,Count,Microsoft.EventHub/namespaces
Total,Event Hub incoming message throughput for a namespace. This metric is deprecated. Please use Incoming bytes metric instead,No Dimensions,EHINMBS,Incoming bytes (Deprecated),Bytes,Microsoft.EventHub/namespaces
Total,Event Hub incoming message throughput for a namespace,No Dimensions,EHINBYTES,Incoming bytes,Bytes,Microsoft.EventHub/namespaces
Total,Event Hub outgoing message throughput for a namespace. This metric is deprecated. Please use Outgoing bytes metric instead,No Dimensions,EHOUTMBS,Outgoing bytes (Deprecated),Bytes,Microsoft.EventHub/namespaces
Total,Event Hub outgoing message throughput for a namespace,No Dimensions,EHOUTBYTES,Outgoing bytes,Bytes,Microsoft.EventHub/namespaces
Total,Event Hub archive messages in backlog for a namespace,No Dimensions,EHABL,Archive backlog messages,Count,Microsoft.EventHub/namespaces
Total,Event Hub archived messages in a namespace,No Dimensions,EHAMSGS,Archive messages,Count,Microsoft.EventHub/namespaces
Total,Event Hub archived message throughput in a namespace,No Dimensions,EHAMBS,Archive message throughput,Bytes,Microsoft.EventHub/namespaces
Total,Number of gateway requests,ClusterDnsName,GatewayRequests,Gateway Requests,Count,Microsoft.HDInsight/clusters
Total,Number of gateway requests by categories (1xx/2xx/3xx/4xx/5xx),ClusterDnsName,CategorizedGatewayRequests,Categorized Gateway Requests,Count,Microsoft.HDInsight/clusters
Average,The value computed by autoscale when executed,MetricTriggerSource,ObservedMetricValue,Observed Metric Value,Count,Microsoft.Insights/AutoscaleSettings
Average,The configured autoscale threshold when autoscale ran.,MetricTriggerRule,MetricThreshold,Metric Threshold,Count,Microsoft.Insights/AutoscaleSettings
Average,The capacity reported to autoscale when it executed.,No Dimensions,ObservedCapacity,Observed Capacity,Count,Microsoft.Insights/AutoscaleSettings
Total,The direction of the scale operation.,ScaleDirection,ScaleActionsInitiated,Scale Actions Initiated,Count,Microsoft.Insights/AutoscaleSettings
Count,Number of total service api hits,ActivityType,ServiceApiHit,Total Service Api Hits,Count,Microsoft.KeyVault/vaults
Average,Overall latency of service api requests,ActivityType,ServiceApiLatency,Overall Service Api Latency,Milliseconds,Microsoft.KeyVault/vaults
Count,Number of total service api results,ActivityType,ServiceApiResult,Total Service Api Results,Count,Microsoft.KeyVault/vaults
Average,Duration of API calls,OperationName,Latency,Latency,Milliseconds,Microsoft.LocationBasedServices/accounts
Total,Number of workflow runs started.,No Dimensions,RunsStarted,Runs Started,Count,Microsoft.Logic/workflows
Total,Number of workflow runs completed.,No Dimensions,RunsCompleted,Runs Completed,Count,Microsoft.Logic/workflows
Total,Number of workflow runs succeeded.,No Dimensions,RunsSucceeded,Runs Succeeded,Count,Microsoft.Logic/workflows
Total,Number of workflow runs failed.,No Dimensions,RunsFailed,Runs Failed,Count,Microsoft.Logic/workflows
Total,Number of workflow runs cancelled.,No Dimensions,RunsCancelled,Runs Cancelled,Count,Microsoft.Logic/workflows
Average,Latency of completed workflow runs.,No Dimensions,RunLatency,Run Latency,Seconds,Microsoft.Logic/workflows
Average,Latency of succeeded workflow runs.,No Dimensions,RunSuccessLatency,Run Success Latency,Seconds,Microsoft.Logic/workflows
Total,Number of workflow action or trigger throttled events.,No Dimensions,RunThrottledEvents,Run Throttled Events,Count,Microsoft.Logic/workflows
Total,Percentage of workflow runs failed.,No Dimensions,RunFailurePercentage,Run Failure Percentage,Percent,Microsoft.Logic/workflows
Total,Number of workflow actions started.,No Dimensions,ActionsStarted,Actions Started,Count,Microsoft.Logic/workflows
Total,Number of workflow actions completed.,No Dimensions,ActionsCompleted,Actions Completed,Count,Microsoft.Logic/workflows
Total,Number of workflow actions succeeded.,No Dimensions,ActionsSucceeded,Actions Succeeded,Count,Microsoft.Logic/workflows
Total,Number of workflow actions failed.,No Dimensions,ActionsFailed,Actions Failed,Count,Microsoft.Logic/workflows
Total,Number of workflow actions skipped.,No Dimensions,ActionsSkipped,Actions Skipped,Count,Microsoft.Logic/workflows
Average,Latency of completed workflow actions.,No Dimensions,ActionLatency,Action Latency,Seconds,Microsoft.Logic/workflows
Average,Latency of succeeded workflow actions.,No Dimensions,ActionSuccessLatency,Action Success Latency,Seconds,Microsoft.Logic/workflows
Total,Number of workflow action throttled events..,No Dimensions,ActionThrottledEvents,Action Throttled Events,Count,Microsoft.Logic/workflows
Total,Number of workflow triggers started.,No Dimensions,TriggersStarted,Triggers Started,Count,Microsoft.Logic/workflows
Total,Number of workflow triggers completed.,No Dimensions,TriggersCompleted,Triggers Completed,Count,Microsoft.Logic/workflows
Total,Number of workflow triggers succeeded.,No Dimensions,TriggersSucceeded,Triggers Succeeded,Count,Microsoft.Logic/workflows
Total,Number of workflow triggers failed.,No Dimensions,TriggersFailed,Triggers Failed,Count,Microsoft.Logic/workflows
Total,Number of workflow triggers skipped.,No Dimensions,TriggersSkipped,Triggers Skipped,Count,Microsoft.Logic/workflows
Total,Number of workflow triggers fired.,No Dimensions,TriggersFired,Triggers Fired,Count,Microsoft.Logic/workflows
Average,Latency of completed workflow triggers.,No Dimensions,TriggerLatency,Trigger Latency,Seconds,Microsoft.Logic/workflows
Average,Latency of fired workflow triggers.,No Dimensions,TriggerFireLatency,Trigger Fire Latency,Seconds,Microsoft.Logic/workflows
Average,Latency of succeeded workflow triggers.,No Dimensions,TriggerSuccessLatency,Trigger Success Latency,Seconds,Microsoft.Logic/workflows
Total,Number of workflow trigger throttled events.,No Dimensions,TriggerThrottledEvents,Trigger Throttled Events,Count,Microsoft.Logic/workflows
Total,Number of workflow action executions getting billed.,No Dimensions,BillableActionExecutions,Billable Action Executions,Count,Microsoft.Logic/workflows
Total,Number of workflow trigger executions getting billed.,No Dimensions,BillableTriggerExecutions,Billable Trigger Executions,Count,Microsoft.Logic/workflows
Total,Number of workflow executions getting billed.,No Dimensions,TotalBillableExecutions,Total Billable Executions,Count,Microsoft.Logic/workflows
Average,Availability of VIP endpoints, based on probe results,VipAvailability,VIP Availability,Count,Microsoft.Network/loadBalancers
Average,Availability of DIP endpoints, based on probe results,DipAvailability,DIP Availability,Count,Microsoft.Network/loadBalancers
Total,Total number of Bytes transmitted within time period,VipAddress,ByteCount,Byte Count,Count,Microsoft.Network/loadBalancers
Total,Total number of Packets transmitted within time period,VipAddress,PacketCount,Packet Count,Count,Microsoft.Network/loadBalancers
Total,Total number of SYN Packets transmitted within time period,VipAddress,SYNCount,SYN Count,Count,Microsoft.Network/loadBalancers
Total,Total number of new SNAT connections created within time period,VipAddress,SnatConnectionCount,SNAT Connection Count,Count,Microsoft.Network/loadBalancers
Total,Number of queries served for a DNS zone,No Dimensions,QueryVolume,Query Volume,Count,Microsoft.Network/dnszones
Maximum,Number of Record Sets in a DNS zone,No Dimensions,RecordSetCount,Record Set Count,Count,Microsoft.Network/dnszones
Maximum,Percent of Record Set capacity utilized by a DNS zone,No Dimensions,RecordSetCapacityUtilization,Record Set Capacity Utilization,Percent,Microsoft.Network/dnszones
Maximum,Inbound packets DDoS,No Dimensions,PacketsInDDoS,Inbound packets DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound packets dropped DDoS,No Dimensions,PacketsDroppedDDoS,Inbound packets dropped DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound packets forwarded DDoS,No Dimensions,PacketsForwardedDDoS,Inbound packets forwarded DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP packets DDoS,No Dimensions,TCPPacketsInDDoS,Inbound TCP packets DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP packets dropped DDoS,No Dimensions,TCPPacketsDroppedDDoS,Inbound TCP packets dropped DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP packets forwarded DDoS,No Dimensions,TCPPacketsForwardedDDoS,Inbound TCP packets forwarded DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP packets DDoS,No Dimensions,UDPPacketsInDDoS,Inbound UDP packets DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP packets dropped DDoS,No Dimensions,UDPPacketsDroppedDDoS,Inbound UDP packets dropped DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP packets forwarded DDoS,No Dimensions,UDPPacketsForwardedDDoS,Inbound UDP packets forwarded DDoS,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound bytes DDoS,No Dimensions,BytesInDDoS,Inbound bytes DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound bytes dropped DDoS,No Dimensions,BytesDroppedDDoS,Inbound bytes dropped DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound bytes forwarded DDoS,No Dimensions,BytesForwardedDDoS,Inbound bytes forwarded DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP bytes DDoS,No Dimensions,TCPBytesInDDoS,Inbound TCP bytes DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP bytes dropped DDoS,No Dimensions,TCPBytesDroppedDDoS,Inbound TCP bytes dropped DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP bytes forwarded DDoS,No Dimensions,TCPBytesForwardedDDoS,Inbound TCP bytes forwarded DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP bytes DDoS,No Dimensions,UDPBytesInDDoS,Inbound UDP bytes DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP bytes dropped DDoS,No Dimensions,UDPBytesDroppedDDoS,Inbound UDP bytes dropped DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP bytes forwarded DDoS,No Dimensions,UDPBytesForwardedDDoS,Inbound UDP bytes forwarded DDoS,BytesPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Under DDoS attack or not,No Dimensions,IfUnderDDoSAttack,Under DDoS attack or not,Count,Microsoft.Network/publicIPAddresses
Maximum,Inbound TCP packets to trigger DDoS mitigation,No Dimensions,DDoSTriggerTCPPackets,Inbound TCP packets to trigger DDoS mitigation,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound UDP packets to trigger DDoS mitigation,No Dimensions,DDoSTriggerUDPPackets,Inbound UDP packets to trigger DDoS mitigation,CountPerSecond,Microsoft.Network/publicIPAddresses
Maximum,Inbound SYN packets to trigger DDoS mitigation,No Dimensions,DDoSTriggerSYNPackets,Inbound SYN packets to trigger DDoS mitigation,CountPerSecond,Microsoft.Network/publicIPAddresses
Average,Average IPAddress availability within time period,Port,VipAvailability,Availability,Count,Microsoft.Network/publicIPAddresses
Total,Total number of Bytes transmitted within time period,Port,ByteCount,Byte Count,Count,Microsoft.Network/publicIPAddresses
Total,Total number of Packets transmitted within time period,Port,PacketCount,Packet Count,Count,Microsoft.Network/publicIPAddresses
Total,Total number of SYN Packets transmitted within time period,Port,SynCount,SYN Count,Count,Microsoft.Network/publicIPAddresses
Total,Number of bytes per second the Application Gateway has served,No Dimensions,Throughput,Throughput,BytesPerSecond,Microsoft.Network/applicationGateways
Average,Number of unhealthy backend hosts,BackendSettingsPool,UnhealthyHostCount,Unhealthy Host Count,Count,Microsoft.Network/applicationGateways
Average,Number of healthy backend hosts,BackendSettingsPool,HealthyHostCount,Healthy Host Count,Count,Microsoft.Network/applicationGateways
Total,Count of successful requests that Application Gateway has served,BackendSettingsPool,TotalRequests,Total Requests,Count,Microsoft.Network/applicationGateways
Total,Count of failed requests that Application Gateway has served,BackendSettingsPool,FailedRequests,Failed Requests,Count,Microsoft.Network/applicationGateways
Total,Http response status returned by Application Gateway,HttpStatusGroup,ResponseStatus,Response Status,Count,Microsoft.Network/applicationGateways
Total,Count of current connections established with Application Gateway,No Dimensions,CurrentConnections,Current Connections,Count,Microsoft.Network/applicationGateways
Average,Average bandwidth of a tunnel in bytes per second,ConnectionName,TunnelAverageBandwidth,Tunnel Bandwidth,BytesPerSecond,Microsoft.Network/virtualNetworkGateways
Total,Outgoing bytes of a tunnel,ConnectionName,TunnelEgressBytes,Tunnel Egress Bytes,Bytes,Microsoft.Network/virtualNetworkGateways
Total,Incoming bytes of a tunnel,ConnectionName,TunnelIngressBytes,Tunnel Ingress Bytes,Bytes,Microsoft.Network/virtualNetworkGateways
Total,Outgoing packet count of a tunnel,ConnectionName,TunnelEgressPackets,Tunnel Egress Packets,Count,Microsoft.Network/virtualNetworkGateways
Total,Incoming packet count of a tunnel,ConnectionName,TunnelIngressPackets,Tunnel Ingress Packets,Count,Microsoft.Network/virtualNetworkGateways
Total,Outgoing packet drop count from traffic selector mismatch of a tunnel,ConnectionName,TunnelEgressPacketDropTSMismatch,Tunnel Egress TS Mismatch Packet Drop,Count,Microsoft.Network/virtualNetworkGateways
Total,Incoming packet drop count from traffic selector mismatch of a tunnel,ConnectionName,TunnelIngressPacketDropTSMismatch,Tunnel Ingress TS Mismatch Packet Drop,Count,Microsoft.Network/virtualNetworkGateways
Average,Bits ingressing Azure per second,No Dimensions,BitsInPerSecond,BitsInPerSecond,CountPerSecond,Microsoft.Network/expressRouteCircuits
Average,Bits egressing Azure per second,No Dimensions,BitsOutPerSecond,BitsOutPerSecond,CountPerSecond,Microsoft.Network/expressRouteCircuits
Total,Number of times a Traffic Manager endpoint was returned in the given time frame,EndpointName,QpsByEndpoint,Queries by Endpoint Returned,Count,Microsoft.Network/trafficManagerProfiles
Maximum,"1 if an endpoint's probe status is ""Enabled""", 0 otherwise.,ProbeAgentCurrentEndpointStateByProfileResourceId,Endpoint Status by Endpoint,Count,Microsoft.Network/trafficManagerProfiles
Average,% of connectivity monitoring probes failed,No Dimensions,ProbesFailedPercent,% Probes Failed,Percent,Microsoft.Network/networkWatchers/connectionMonitors
Average,Average network round-trip time (ms) for connectivity monitoring probes sent between source and destination,No Dimensions,AverageRoundtripMs,Avg. Round-trip Time (ms),MilliSeconds,Microsoft.Network/networkWatchers/connectionMonitors
Total,The count of all successful registration operations (creations updates queries and deletions).,No Dimensions,registration.all,Registration Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful registration creations.,No Dimensions,registration.create,Registration Create Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful registration updates.,No Dimensions,registration.update,Registration Update Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful registration queries.,No Dimensions,registration.get,Registration Read Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful registration deletions.,No Dimensions,registration.delete,Registration Delete Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful send API calls.,No Dimensions,incoming,Incoming Messages,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Scheduled Push Notifications Cancelled,No Dimensions,incoming.scheduled,Scheduled Push Notifications Sent,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Scheduled Push Notifications Cancelled,No Dimensions,incoming.scheduled.cancel,Scheduled Push Notifications Cancelled,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Pending Scheduled Notifications,No Dimensions,scheduled.pending,Pending Scheduled Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Installation Management Operations,No Dimensions,installation.all,Installation Management Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Get Installation Operations,No Dimensions,installation.get,Get Installation Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Create or Update Installation Operations,No Dimensions,installation.upsert,Create or Update Installation Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Patch Installation Operations,No Dimensions,installation.patch,Patch Installation Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Delete Installation Operations,No Dimensions,installation.delete,Delete Installation Operations,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful notifications.,No Dimensions,outgoing.allpns.success,Successful notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS returned a bad payload error.,No Dimensions,outgoing.allpns.invalidpayload,Payload Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because there was a problem communicating with the PNS (excludes authentication problems).,No Dimensions,outgoing.allpns.pnserror,External Notification System Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
